Name,Team,W,L,G,SV,HLD,IP,H,ER,BB,SO
David Festa,MIN,5,5,27,0,0,85,78,37,30,87
Dean Kremer,BAL,8,9,25,0,0,146,146,72,49,128
AJ Smith-Shawver,ATL,7,7,45,0,0,134,125,65,55,138
Yariel Rodríguez,TOR,6,6,66,0,7,113,100,49,46,122
Jhoan Duran,PHI,3,2,65,23,4,65,51,20,21,80
Clayton Kershaw,LAD,4,3,12,0,0,71,69,30,19,66
Félix Bautista,BAL,3,2,60,25,3,60,41,18,22,87
Dustin May,BOS,4,3,50,0,0,80,71,32,27,87
Tyler Anderson,LAA,8,11,29,0,0,171,176,90,63,135
Luis Gil,NYY,6,5,26,0,0,99,85,46,46,109
Will Warren,NYY,6,6,33,0,0,114,113,53,38,102
Edwin Díaz,NYM,3,2,65,36,1,65,46,21,24,89
Lance Lynn,,5,5,16,0,0,94,92,45,30,88
Michael Soroka,CHC,7,8,54,0,0,135,128,64,53,124
Michael Lorenzen,KCR,8,9,56,0,0,152,158,78,62,121
Ryan Weathers,MIA,5,7,19,0,0,106,105,49,39,94
Tylor Megill,NYM,5,4,50,0,0,93,83,38,32,96
Kyle Wright,KCR,4,5,35,0,0,87,88,40,28,74
Kyle Gibson,,6,7,27,0,0,118,121,56,39,101
Ryan Helsley,NYM,3,2,66,35,1,66,50,22,24,83
Bailey Falter,KCR,7,9,46,0,0,144,152,74,43,109
Jonathan Cannon,CHW,7,11,31,0,0,158,168,84,56,118
Zack Littell,CIN,7,9,34,0,0,144,150,72,35,121
JP Sears,SDP,9,12,30,0,0,177,179,91,52,144
Simeon Woods Richardson,MIN,7,9,24,0,0,129,131,67,48,108
Jordan Hicks,BOS,7,8,38,0,0,137,132,62,58,124
Martín Pérez,CHW,6,10,24,0,0,137,147,71,51,101
Matt Strahm,PHI,3,2,66,3,11,66,53,24,18,78
Matthew Liberatore,STL,7,8,57,0,0,134,129,60,50,118
Josh Hader,HOU,3,2,68,32,1,68,49,23,27,94
Cade Cavalli,WSN,5,6,29,0,0,97,92,45,36,91
Hayden Wesneski,HOU,7,8,41,0,0,128,127,63,43,116
Logan Allen,CLE,6,8,22,0,0,122,123,59,46,105
Griffin Jax,TBR,3,3,70,8,11,70,59,25,20,82
Emmanuel Clase,CLE,3,2,66,34,1,66,60,22,15,67
Kyle Hendricks,LAA,6,9,24,0,0,131,145,71,37,92
Jack Kochanowicz,LAA,6,8,29,0,0,129,147,66,35,73
Cade Smith,CLE,3,2,68,2,14,68,53,23,23,85
Grant Holmes,ATL,7,6,57,0,0,124,124,58,39,113
Kyle Harrison,BOS,5,5,36,0,0,94,84,40,33,100
Jeff Hoffman,TOR,3,2,65,27,3,65,52,23,22,79
Andrés Muñoz,SEA,3,2,64,26,3,64,48,20,25,83
Tanner Scott,LAD,3,2,66,25,7,66,51,22,29,82
Johan Oviedo,PIT,5,7,35,0,0,109,109,54,45,94
Ryne Nelson,ARI,7,7,51,0,0,124,129,59,33,101
Bryan Abreu,HOU,3,3,72,2,14,72,56,26,28,91
Joey Cantillo,CLE,5,5,64,0,7,100,88,42,42,107
Trevor Williams,WSN,7,9,45,0,0,136,142,69,41,108
Cal Quantrill,MIA,6,10,25,0,0,146,156,78,53,109
Aroldis Chapman,BOS,3,2,63,18,7,63,44,21,34,89
Orion Kerkering,PHI,3,2,63,4,10,63,51,22,21,72
Austin Gomber,COL,6,10,25,0,0,143,166,83,40,102
Tomoyuki Sugano,BAL,8,9,36,0,0,150,163,77,32,112
Javier Assad,CHC,7,8,43,0,0,135,137,67,51,115
DJ Herz,WSN,4,4,25,0,0,74,62,33,36,81
Shane Smith,CHW,5,8,41,0,0,117,118,58,44,98
Chase Dollander,COL,5,8,27,0,0,118,123,66,47,105
Jack Leiter,TEX,7,8,43,0,0,130,122,64,55,129
Garrett Whitlock,BOS,3,2,66,2,13,66,61,26,15,67
Keegan Akin,BAL,3,3,70,2,16,70,60,26,20,77
Lucas Erceg,KCR,3,2,67,9,10,67,57,25,25,76
Trevor Megill,MIL,3,2,64,28,2,64,51,24,22,78
Ryan Walker,SFG,3,2,68,28,5,68,54,23,21,80
Aaron Bummer,ATL,3,2,61,1,14,61,52,20,24,68
José Alvarado,PHI,3,2,61,5,12,61,49,22,27,71
Justin Martinez,ARI,3,2,67,17,9,67,52,23,34,83
Hayden Birdsong,SFG,6,6,42,0,0,112,99,49,49,120
Chris Martin,TEX,3,2,58,16,7,58,53,21,11,59
Patrick Corbin,TEX,5,5,16,0,0,89,96,45,27,69
Michael McGreevy,STL,4,4,46,0,0,84,87,35,19,61
Griffin Canning,NYM,7,7,49,0,0,122,120,57,39,109
Jason Adam,SDP,3,2,67,5,11,67,54,25,23,77
Fernando Cruz,NYY,3,2,61,0,13,61,46,22,25,80
Jeremiah Estrada,SDP,3,2,63,4,13,63,46,22,27,82
Paul Blackburn,NYM,5,4,52,0,0,88,87,39,24,78
Ben Lively,CLE,7,9,24,0,0,136,146,72,43,107
Luis Garcia,HOU,3,3,18,0,0,63,60,29,19,62
A.J. Puk,ARI,3,2,64,18,7,64,53,24,22,74
Osvaldo Bido,ATH,6,7,49,0,0,121,113,58,46,110
Devin Williams,NYY,3,2,63,30,2,63,48,22,28,80
Hunter Harvey,KCR,3,2,59,1,12,59,52,23,18,63
Robert Garcia,TEX,3,2,64,9,9,64,54,24,23,72
Luis L. Ortiz,CLE,7,9,33,0,0,137,142,71,52,115
Ian Anderson,ATL,4,5,54,0,0,91,90,42,34,82
Raisel Iglesias,ATL,3,2,68,32,1,68,60,26,18,75
Blake Treinen,LAD,3,2,59,6,14,59,51,23,18,64
Liam Hendriks,BOS,3,2,61,12,8,61,53,25,17,68
Mitch Spence,ATH,5,6,50,0,0,109,111,50,31,87
Matt Brash,SEA,2,2,50,0,0,50,37,16,20,63
Andrew Painter,PHI,4,4,19,0,0,72,70,35,24,66
Bubba Chandler,PIT,3,4,12,0,0,73,73,36,30,64
Ben Joyce,LAA,3,2,62,7,10,62,48,23,28,77
Gregory Santos,SEA,3,2,62,5,12,62,54,23,22,64
Louis Varland,TOR,3,3,61,0,11,68,64,27,17,68
Yimi García,TOR,3,2,61,3,14,61,52,23,18,67
Kenta Maeda,NYY,3,4,63,0,4,76,72,33,19,73
Noah Schultz,CHW,2,3,8,0,0,46,45,21,16,40
Randy Vásquez,SDP,5,6,29,0,0,93,95,47,31,71
Brock Stewart,LAD,2,2,50,0,0,50,39,18,19,63
David Bednar,NYY,3,3,64,27,4,64,56,27,24,68
Reed Garrett,NYM,3,2,66,0,14,66,55,25,27,74
Bryce Elder,ATL,4,3,24,0,0,69,72,32,22,57
A.J. Minter,NYM,3,2,57,2,11,57,47,21,19,64
Cole Sands,MIN,3,2,64,1,15,64,57,26,19,68
Robert Suarez,SDP,3,2,65,25,4,65,56,25,22,68
Camilo Doval,NYY,3,2,62,9,11,62,49,21,26,74
Pete Fairbanks,TBR,3,2,60,24,5,60,51,23,22,67
Ryan Pressly,CHC,3,2,61,25,5,61,55,23,19,63
Justin Slaten,BOS,3,2,64,3,14,64,59,27,23,66
Mark Leiter Jr.,NYY,3,2,58,0,12,58,49,23,21,65
Justin Wilson,BOS,2,2,58,0,10,58,52,24,20,60
David Robertson,PHI,2,2,48,0,0,48,38,17,18,59
Bryan Hudson,CHW,3,2,60,0,11,60,52,23,22,65
Matt Waldron,SDP,3,4,19,0,0,64,64,31,18,53
Will Vest,DET,3,3,68,2,11,68,61,25,21,67
Tanner Banks,PHI,3,3,68,0,11,68,61,27,22,67
Tony Gonsolin,LAD,5,5,36,0,0,96,96,49,32,86
